hp,cyl,wt,mpg
BMW 330e Sedan,181,4,4.5,30.1
BMW 330e xDrive Sedan,181,4,4.5,30.2
BMW 530e,181,4,4.75,27.7
BMW 530e xDrive,181,4,4.75,26.2
BMW X5 xDrive45e,282,6,6,20.9
Jeep Grand Wagoneer 4x4,510,6,6.5,17.1
Jeep Wrangler 4dr 4xe,270,4,5.5,19.7
Jeep Wrangler 4X4,270,4,4.25,22.6
Ford Bronco,315,6,5,19.2
Ford Bronco,270,4,5,19.8
Ford Bronco,270,4,5.5,16.4
Ford Bronco,315,6,5.5,16.8
Ford Bronco,315,6,5.5,15.6
Ford Bronco,270,4,4.75,19.8
Ford Bronco,270,4,5.5,16
Ford BRONCO RAPTOR 4WD,400,6,6,14.9
"Ford F150 Raptor 37""",450,6,6.5,15.1
Ford Ranger - Chassis Cab,300,4,5.25,17.8
BUICK ENCORE GX AWD,155,3,3.5,26.7
BUICK ENCORE GX FWD,137,3,3.38,29.2
BUICK ENCORE GX FWD,155,3,3.38,30.1
CADILLAC CT4 V,470,6,4.25,21.7
CADILLAC CT5 V,668,8,4.5,19
CADILLAC CT5 V,668,8,4.5,20
CADILLAC ESCALADE 4WD,425,8,6.5,16.5
CADILLAC ESCALADE V AWD,682,8,7,13.9
CADILLAC XT5 AWD,237,4,5.5,20.6
CHEVROLET CAMARO,650,8,4.5,19.2
CHEVROLET CAMARO,650,8,4.5,19.6
CHEVROLET CAMARO,455,8,4,23.8
CHEVROLET CORVETTE Z06,670,8,4,20.1
CHEVROLET CORVETTE Z06,670,8,4,18.4
CHEVROLET SILVERADO 2WD,310,4,5.25,19.4
CHEVROLET SILVERADO 2WD,355,8,5.5,19.4
CHEVROLET SILVERADO 2WD,355,8,5.25,18.3
CHEVROLET SILVERADO 2WD,355,8,5,18.3
CHEVROLET SILVERADO 4WD,355,8,5.5,15.9
CHEVROLET SILVERADO 4WD ZR2,425,8,6,15.6
CHEVROLET SUBURBAN 4WD,355,8,6.5,17.7
GMC YUKON XL 4WD,420,8,6.5,16.1
ACURA MDX AWD Type-S,355,6,5,19.8
ACURA RDX AWD A-SPEC,272,4,4.5,23.6
ACURA RDX FWD A-SPEC,272,4,4.25,24.8
HONDA CIVIC 5Dr,315,4,3.5,27.1
Genesis G70,368,6,4.25,25.3
Genesis G70,368,6,4.25,25
Genesis G80,300,4,4.5,27.7
Genesis G80,300,4,4.75,26.5
Genesis G80,375,6,4.75,24.7
Genesis G90,420,6,5.5,21.3
Genesis GV80,300,4,5,22
HYUNDAI Elantra,147,4,3.13,35.9
HYUNDAI Elantra,201,4,3.38,32.2
HYUNDAI Elantra,147,4,3.13,35.5
HYUNDAI Elantra Hybrid,104,4,3.38,47.1
HYUNDAI Elantra Hybrid Blue,104,4,3.25,49.5
Hyundai Elantra N,280,4,3.63,29.1
Hyundai Elantra N,280,4,3.5,29
Hyundai Kona N,280,4,3.63,27.3
HYUNDAI Santa Cruz,191,4,4.25,22.7
HYUNDAI Santa Cruz,191,4,4.25,22.8
Hyundai Santa Fe,191,4,4,25.5
Hyundai Santa Fe,191,4,4.25,22.8
HYUNDAI SANTA FE HYBRID,177,4,4.5,30.5
HYUNDAI SANTA FE HYBRID,177,4,4.5,29.5
HYUNDAI SANTA FE PHEV,177,4,4.75,29.9
Hyundai Sonata,290,4,3.88,30.1
HYUNDAI SONATA HYBRID,150,4,3.63,48.3
HYUNDAI SONATA HYBRID,150,4,3.75,44.8
HYUNDAI TUCSON HYBRID,177,4,4,33.8
