NAME,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT13,WT14,WT16,WT18,WT22
"SEATTLE TACOMA AIRPORT, WA US",01 04 2013,3.6,0,0,0,12.8,17.2,8.3,7.6,9.4,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",02 04 2013,2.2,0,0,0,11.5,13.9,8.9,4.5,7.6,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",03 04 2013,1.6,0,0,0,11.7,16.7,7.8,4,8.9,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",04 04 2013,3,8.4,0,0,12,14.4,10,8.1,12.5,1,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",05 04 2013,5.6,18.5,0,0,12.2,13.9,10,13,18.3,1,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",06 04 2013,5,12.7,0,0,9.8,12.2,7.2,9.8,12.5,1,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",07 04 2013,3.9,39.1,0,0,7.2,8.3,5,8.9,16.1,1,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",08 04 2013,3.1,0.8,0,0,7.7,13.3,6.1,5.8,7.2,1,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",09 04 2013,2.4,0,0,0,9.1,12.2,6.1,4,5.4,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",10 04 2013,6.4,9.4,0,0,11.7,15,8.9,11.2,14.3,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",11 04 2013,3.8,1.5,0,0,9.2,12.2,6.7,6.7,8.9,1,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",12 04 2013,4.6,9.7,0,0,7.6,7.8,4.4,13,17,1,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",13 04 2013,5.7,9.4,0,0,6.2,10.6,3.3,11.2,15.7,1,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",14 04 2013,2.3,5.8,0,0,6.9,12.8,4.4,5.8,7.2,1,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",15 04 2013,2.4,0,0,0,7.9,13.9,4.4,15.7,20.1,1,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",16 04 2013,2.6,0.3,0,0,7.9,13.9,3.3,12.5,15.7,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",17 04 2013,3.3,0,0,0,9.3,15,3.9,6.7,8.9,,,,,,,1,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",18 04 2013,4,5.3,0,0,9.2,11.7,6.7,7.2,9.8,1,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",19 04 2013,4.9,20.6,0,0,10.4,13.3,9.4,7.6,9.8,1,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",20 04 2013,5.8,0,0,0,10.4,13.9,8.3,9.8,12.5,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",21 04 2013,4.1,3.3,0,0,9.3,12.2,6.7,7.6,9.8,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",22 04 2013,4.3,0,0,0,9.3,16.1,5,7.6,9.4,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",23 04 2013,2.8,0,0,0,10.7,17.8,3.9,8.9,10.7,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",24 04 2013,3,0,0,0,12.8,21.1,6.1,5.8,7.6,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",25 04 2013,1.1,0,0,0,14.7,21.7,6.7,3.6,5.4,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",26 04 2013,2.2,0,0,0,13.9,20.6,8.3,6.3,7.2,1,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",27 04 2013,5.9,0,0,0,13.8,13.9,10.6,10.3,12.5,,,,,,,,,,,,,
